,Date,Price_x,Open_x,Price-2_x,Open-2_x,Price-7_x,Open-7_x,Price_y,Open_y,Price-2_y,Open-2_y,Price-7_y,Open-7_y,Price_x,Open_x,Price-2_x,Open-2_x,Price-7_x,Open-7_x,Price_y,Open_y,Price-2_y,Open-2_y,Price-7_y,Open-7_y
0,26-Jun-20,"3,009.05","3,073.20","3,050.33","3,114.40","3,113.49","3,136.13",38.49,39.09,38.01,39.99,37.96,37.93,"1,780.30","1,774.80","1,775.10","1,784.40","1,735.60","1,735.30","25,015.55","25,641.69","25,445.94","25,992.96","26,119.61","26,330.52"
1,25-Jun-20,"3,083.76","3,046.60","3,131.29","3,138.70","3,124.74","3,131.00",38.72,38.05,40.37,40.68,38.38,37.05,"1,770.60","1,772.30","1,782.00","1,764.90","1,736.50","1,732.30","25,745.60","25,365.22","26,156.10","26,159.39","26,289.98","26,326.68"
2,24-Jun-20,"3,050.33","3,114.40","3,117.86","3,094.42","3,066.59","2,993.76",38.01,39.99,40.46,39.18,37.12,36.03,"1,775.10","1,784.40","1,766.40","1,765.80","1,727.20","1,740.70","25,445.94","25,992.96","26,024.96","25,865.08","25,763.16","25,270.39"
3,23-Jun-20,"3,131.29","3,138.70","3,097.74","3,140.29","3,041.31","3,071.04",40.37,40.68,39.75,38.85,36.26,36.26,"1,782.00","1,764.90","1,753.00","1,729.80","1,737.30","1,733.60","26,156.10","26,159.39","25,871.46","26,213.10","25,605.54","25,659.42"
4,22-Jun-20,"3,117.86","3,094.42","3,115.34","3,101.64","3,002.10","3,123.53",40.46,39.18,38.84,37.74,36.34,39.09,"1,766.40","1,765.80","1,731.10","1,735.50","1,739.80","1,746.60","26,024.96","25,865.08","26,080.10","26,016.45","25,128.17","26,282.51"
5,19-Jun-20,"3,097.74","3,140.29","3,113.49","3,136.13","3,190.14","3,213.42",39.75,38.85,37.96,37.93,39.6,38.5,"1,753.00","1,729.80","1,735.60","1,735.30","1,720.70","1,718.90","25,871.46","26,213.10","26,119.61","26,330.52","26,989.99","27,251.89"
6,18-Jun-20,"3,115.34","3,101.64","3,124.74","3,131.00","3,207.18","3,213.32",38.84,37.74,38.38,37.05,38.94,38.22,"1,731.10","1,735.50","1,736.50","1,732.30","1,721.90","1,703.90","26,080.10","26,016.45","26,289.98","26,326.68","27,272.30","27,447.37"
7,17-Jun-20,"3,113.49","3,136.13","3,066.59","2,993.76","3,232.39","3,199.92",37.96,37.93,37.12,36.03,38.19,39.41,"1,735.60","1,735.30","1,727.20","1,740.70","1,705.10","1,686.70","26,119.61","26,330.52","25,763.16","25,270.39","27,572.44","27,232.93"
8,16-Jun-20,"3,124.74","3,131.00","3,041.31","3,071.04","3,193.93","3,163.84",38.38,37.05,36.26,36.26,39.55,37.33,"1,736.50","1,732.30","1,737.30","1,733.60","1,683.00","1,720.80","26,289.98","26,326.68","25,605.54","25,659.42","27,110.98","26,836.80"
9,15-Jun-20,"3,066.59","2,993.76","3,002.10","3,123.53","3,112.35","3,111.56",37.12,36.03,36.34,39.09,37.41,36.76,"1,727.20","1,740.70","1,739.80","1,746.60","1,727.40","1,702.80","25,763.16","25,270.39","25,128.17","26,282.51","26,281.82","26,226.49"
10,12-Jun-20,"3,041.31","3,071.04","3,190.14","3,213.42","3,122.87","3,098.90",36.26,36.26,39.6,38.5,37.29,36.86,"1,737.30","1,733.60","1,720.70","1,718.90","1,704.80","1,733.70","25,605.54","25,659.42","26,989.99","27,251.89","26,269.89","25,906.88"
11,11-Jun-20,"3,002.10","3,123.53","3,207.18","3,213.32","3,080.82","3,064.78",36.34,39.09,38.94,38.22,36.81,35.56,"1,739.80","1,746.60","1,721.90","1,703.90","1,734.00","1,750.30","25,128.17","26,282.51","27,272.30","27,447.37","25,742.65","25,582.52"
12,10-Jun-20,"3,190.14","3,213.42","3,232.39","3,199.92","3,055.73","3,038.78",39.6,38.5,38.19,39.41,35.44,35.21,"1,720.70","1,718.90","1,705.10","1,686.70","1,750.30","1,749.80","26,989.99","27,251.89","27,572.44","27,232.93","25,475.02","25,342.99"
13,9-Jun-20,"3,207.18","3,213.32","3,193.93","3,163.84","3,044.31","3,025.17",38.94,38.22,39.55,37.33,35.49,33.68,"1,721.90","1,703.90","1,683.00","1,720.80","1,751.70","1,732.70","27,272.30","27,447.37","27,110.98","26,836.80","25,383.11","25,324.15"
14,8-Jun-20,"3,232.39","3,199.92","3,112.35","3,111.56","3,029.73","3,046.61",38.19,39.41,37.41,36.76,33.71,32.1,"1,705.10","1,686.70","1,727.40","1,702.80","1,728.30","1,725.00","27,572.44","27,232.93","26,281.82","26,226.49","25,400.64","25,697.36"
15,5-Jun-20,"3,193.93","3,163.84","3,122.87","3,098.90","3,036.13","3,015.65",39.55,37.33,37.29,36.86,32.81,34.14,"1,683.00","1,720.80","1,704.80","1,733.70","1,726.80","1,724.10","27,110.98","26,836.80","26,269.89","25,906.88","25,548.27","25,298.63"
16,4-Jun-20,"3,112.35","3,111.56","3,080.82","3,064.78","2,991.77","3,004.08",37.41,36.76,36.81,35.56,34.35,33.3,"1,727.40","1,702.80","1,734.00","1,750.30","1,728.20","1,753.00","26,281.82","26,226.49","25,742.65","25,582.52","24,995.11","24,781.84"
17,3-Jun-20,"3,122.87","3,098.90","3,055.73","3,038.78","2,955.45","2,948.05",37.29,36.86,35.44,35.21,33.92,32.92,"1,704.80","1,733.70","1,750.30","1,749.80","1,727.00","1,730.55","26,269.89","25,906.88","25,475.02","25,342.99","24,465.16","24,461.98"
18,2-Jun-20,"3,080.82","3,064.78","3,044.31","3,025.17","2,948.51","2,969.95",36.81,35.56,35.49,33.68,32.9,33.38,"1,734.00","1,750.30","1,751.70","1,732.70","1,730.65","1,735.45","25,742.65","25,582.52","25,383.11","25,324.15","24,474.12","24,564.27"
19,1-Jun-20,"3,055.73","3,038.78","3,029.73","3,046.61","2,971.61","2,953.63",35.44,35.21,33.71,32.1,33.25,33.95,"1,750.30","1,749.80","1,728.30","1,725.00","1,735.50","1,726.00","25,475.02","25,342.99","25,400.64","25,697.36","24,575.90","24,455.94"
20,29-May-20,"3,044.31","3,025.17","3,036.13","3,015.65","2,922.94","2,948.59",35.49,33.68,32.81,34.14,33.92,33.53,"1,751.70","1,732.70","1,726.80","1,724.10","1,721.90","1,751.70","25,383.11","25,324.15","25,548.27","25,298.63","24,206.86","24,577.48"
21,28-May-20,"3,029.73","3,046.61","2,991.77","3,004.08","2,953.91","2,913.86",33.71,32.1,34.35,33.3,33.49,31.89,"1,728.30","1,725.00","1,728.20","1,753.00","1,752.10","1,749.20","25,400.64","25,697.36","24,995.11","24,781.84","24,597.37","24,059.98"
22,27-May-20,"3,036.13","3,015.65","2,955.45","2,948.05","2,863.70","2,829.95",32.81,34.14,33.92,32.92,32.5,32.83,"1,726.80","1,724.10","1,727.00","1,730.55","1,745.60","1,734.80","25,548.27","25,298.63","24,465.16","24,461.98","23,685.42","23,454.83"
23,26-May-20,"2,991.77","3,004.08","2,948.51","2,969.95","2,852.50","2,794.54",34.35,33.3,32.9,33.38,31.82,29.53,"1,728.20","1,753.00","1,730.65","1,735.45","1,734.40","1,757.50","24,995.11","24,781.84","24,474.12","24,564.27","23,625.34","23,049.06"
24,22-May-20,"2,955.45","2,948.05","2,971.61","2,953.63","2,820.00","2,865.86",33.25,33.95,33.49,31.89,25.29,25.3,"1,735.50","1,726.00","1,752.10","1,749.20","1,716.40","1,705.00","24,465.16","24,461.98","24,575.90","24,455.94","23,247.97","23,702.16"
25,21-May-20,"2,948.51","2,969.95","2,922.94","2,948.59","2,870.12","2,939.50",33.92,33.53,32.5,32.83,25.78,24.49,"1,721.90","1,751.70","1,745.60","1,734.80","1,706.80","1,700.00","24,474.12","24,564.27","24,206.86","24,577.48","23,764.78","24,292.84"
26,20-May-20,"2,971.61","2,953.63","2,953.91","2,913.86","2,930.32","2,915.46",33.49,31.89,31.82,29.53,24.14,24.49,"1,752.10","1,749.20","1,734.40","1,757.50","1,698.00","1,706.00","24,575.90","24,455.94","24,597.37","24,059.98","24,221.99","24,256.45"
27,19-May-20,"2,922.94","2,948.59","2,863.70","2,829.95","2,929.80","2,908.83",32.5,32.83,29.43,27.64,24.74,23.35,"1,745.60","1,734.80","1,756.30","1,738.50","1,713.90","1,727.20","24,206.86","24,577.48","23,685.42","23,454.83","24,331.32","24,107.82"
28,18-May-20,"2,953.91","2,913.86","2,852.50","2,794.54","2,881.19","2,878.26",31.82,29.53,27.56,25.56,23.55,24.09,"1,734.40","1,757.50","1,740.90","1,723.10","1,725.80","1,686.00","24,597.37","24,059.98","23,625.34","23,049.06","23,875.89","23,837.21"
29,15-May-20,"2,863.70","2,829.95","2,820.00","2,865.86","2,848.42","2,883.14",29.43,27.64,25.29,25.3,23.99,25.52,"1,756.30","1,738.50","1,716.40","1,705.00","1,688.50","1,714.10","23,685.42","23,454.83","23,247.97","23,702.16","23,664.64","23,978.88"
30,14-May-20,"2,852.50","2,794.54","2,870.12","2,939.50","2,868.44","2,868.88",27.56,25.56,25.78,24.49,24.56,21.24,"1,740.90","1,723.10","1,706.80","1,700.00","1,710.60","1,711.00","23,625.34","23,049.06","23,764.78","24,292.84","23,883.09","23,958.88"
31,13-May-20,"2,820.00","2,865.86","2,930.32","2,915.46","2,842.74","2,815.01",25.29,25.3,24.14,24.49,20.39,19.11,"1,716.40","1,705.00","1,698.00","1,706.00","1,713.30","1,711.20","23,247.97","23,702.16","24,221.99","24,256.45","23,749.76","23,581.55"
32,12-May-20,"2,870.12","2,939.50","2,929.80","2,908.83","2,830.71","2,869.09",25.78,24.49,24.74,23.35,19.78,19.04,"1,706.80","1,700.00","1,713.90","1,727.20","1,700.90","1,693.50","23,764.78","24,292.84","24,331.32","24,107.82","23,723.69","24,120.78"
33,11-May-20,"2,930.32","2,915.46","2,881.19","2,878.26","2,912.43","2,930.91",24.14,24.49,23.55,24.09,18.84,15.64,"1,698.00","1,706.00","1,725.80","1,686.00","1,694.20","1,729.60","24,221.99","24,256.45","23,875.89","23,837.21","24,345.72","24,585.57"
34,8-May-20,"2,929.80","2,908.83","2,848.42","2,883.14","2,939.51","2,918.46",24.74,23.35,23.99,25.52,15.06,13.35,"1,713.90","1,727.20","1,688.50","1,714.10","1,713.40","1,724.80","24,331.32","24,107.82","23,664.64","23,978.88","24,633.86","24,490.37"
35,7-May-20,"2,881.19","2,878.26","2,868.44","2,868.88","2,863.39","2,909.96",23.55,24.09,24.56,21.24,12.34,12.96,"1,725.80","1,686.00","1,710.60","1,711.00","1,722.20","1,724.40","23,875.89","23,837.21","23,883.09","23,958.88","24,101.55","24,357.17"
36,6-May-20,"2,848.42","2,883.14","2,842.74","2,815.01","2,878.48","2,854.65",23.99,25.52,20.39,19.11,12.78,16.84,"1,688.50","1,714.10","1,713.30","1,711.20","1,723.80","1,745.00","23,664.64","23,978.88","23,749.76","23,581.55","24,133.78","23,866.15"
37,5-May-20,"2,868.44","2,868.88","2,830.71","2,869.09","2,836.74","2,812.64",24.56,21.24,19.78,19.04,16.94,16.78,"1,710.60","1,711.00","1,700.90","1,693.50","1,735.60","1,753.00","23,883.09","23,958.88","23,723.69","24,120.78","23,775.27","23,628.24"
38,4-May-20,"2,842.74","2,815.01","2,912.43","2,930.91","2,797.80","2,810.42",20.39,19.11,18.84,15.64,16.5,14.2,"1,713.30","1,711.20","1,694.20","1,729.60","1,745.40","1,736.50","23,749.76","23,581.55","24,345.72","24,585.57","23,515.26","23,543.09"
39,1-May-20,"2,830.71","2,869.09","2,939.51","2,918.46","2,799.31","2,787.89",19.78,19.04,15.06,13.35,13.78,13.12,"1,700.90","1,693.50","1,713.40","1,724.80","1,738.30","1,703.10","23,723.69","24,120.78","24,633.86","24,490.37","23,475.82","23,437.34"
40,30-Apr-20,"2,912.43","2,930.91","2,863.39","2,909.96","2,736.56","2,784.81",18.84,15.64,12.34,12.96,10.01,-14.0,"1,694.20","1,729.60","1,722.20","1,724.40","1,687.80","1,713.30","24,345.72","24,585.57","24,101.55","24,357.17","23,018.88","23,365.25"
41,29-Apr-20,"2,939.51","2,918.46","2,878.48","2,854.65","2,823.16","2,845.62",15.06,13.35,12.78,16.84,-37.63,17.73,"1,713.40","1,724.80","1,723.80","1,745.00","1,711.20","1,693.00","24,633.86","24,490.37","24,133.78","23,866.15","23,650.44","24,095.10"
42,28-Apr-20,"2,863.39","2,909.96","2,836.74","2,812.64","2,874.56","2,842.43",12.34,12.96,16.94,16.78,18.27,20.0,"1,722.20","1,724.40","1,735.60","1,753.00","1,698.80","1,738.50","24,101.55","24,357.17","23,775.27","23,628.24","24,242.49","23,817.15"
43,27-Apr-20,"2,878.48","2,854.65","2,797.80","2,810.42","2,799.55","2,799.34",12.78,16.84,16.5,14.2,19.87,20.15,"1,723.80","1,745.00","1,745.40","1,736.50","1,731.70","1,743.50","24,133.78","23,866.15","23,515.26","23,543.09","23,537.68","23,543.66"
44,24-Apr-20,"2,836.74","2,812.64","2,799.31","2,787.89","2,783.36","2,795.64",16.94,16.78,13.78,13.12,19.87,20.72,"1,735.60","1,753.00","1,738.30","1,703.10","1,740.20","1,758.10","23,775.27","23,628.24","23,475.82","23,437.34","23,504.35","23,600.72"
45,23-Apr-20,"2,797.80","2,810.42","2,736.56","2,784.81","2,846.06","2,805.10",16.5,14.2,10.01,-14.0,20.11,22.36,"1,745.40","1,736.50","1,687.80","1,713.30","1,768.90","1,761.50","23,515.26","23,543.09","23,018.88","23,365.25","23,949.76","23,690.57"
46,22-Apr-20,"2,799.31","2,787.89","2,823.16","2,845.62","2,761.63","2,782.46",13.78,13.12,-37.63,17.73,22.41,24.6,"1,738.30","1,703.10","1,711.20","1,693.00","1,761.40","1,742.30","23,475.82","23,437.34","23,650.44","24,095.10","23,390.77","23,698.93"
47,21-Apr-20,"2,736.56","2,784.81","2,874.56","2,842.43","2,789.82","2,776.99",10.01,-14.0,18.27,20.0,22.76,26.28,"1,687.80","1,713.30","1,698.80","1,738.50","1,740.60","1,740.60","23,018.88","23,365.25","24,242.49","23,817.15","23,719.37","23,690.66"
48,20-Apr-20,"2,823.16","2,845.62","2,799.55","2,799.34","2,749.98","2,685.00",-37.63,17.73,19.87,20.15,25.09,24.3,"1,711.20","1,693.00","1,731.70","1,743.50","1,752.80","1,680.50","23,650.44","24,095.10","23,537.68","23,543.66","23,433.57","22,893.47"
49,17-Apr-20,"2,874.56","2,842.43","2,783.36","2,795.64","2,659.41","2,738.65",18.27,20.0,19.87,20.72,23.63,26.34,"1,698.80","1,738.50","1,740.20","1,758.10","1,684.30","1,678.70","24,242.49","23,817.15","23,504.35","23,600.72","22,653.86","23,537.44"
50,16-Apr-20,"2,799.55","2,799.34","2,846.06","2,805.10","2,663.68","2,578.28",19.87,20.15,20.11,22.36,26.08,26.09,"1,731.70","1,743.50","1,768.90","1,761.50","1,683.70","1,707.10","23,537.68","23,543.66","23,949.76","23,690.57","22,679.99","21,693.63"
51,15-Apr-20,"2,783.36","2,795.64","2,761.63","2,782.46","2,488.65","2,514.92",19.87,20.72,22.41,24.6,28.34,24.81,"1,740.20","1,758.10","1,761.40","1,742.30","1,693.90","1,647.70","23,504.35","23,600.72","23,390.77","23,698.93","21,052.53","21,285.93"
52,14-Apr-20,"2,846.06","2,805.10","2,789.82","2,776.99","2,526.90","2,458.54",20.11,22.36,22.76,26.28,25.32,21.22,"1,768.90","1,761.50","1,740.60","1,740.60","1,645.70","1,635.30","23,949.76","23,690.57","23,719.37","23,690.66","21,413.44","20,819.46"
53,13-Apr-20,"2,761.63","2,782.46","2,749.98","2,685.00","2,470.50","2,498.08",22.41,24.6,25.09,24.3,20.31,20.1,"1,761.40","1,742.30","1,752.80","1,680.50","1,637.70","1,602.40","23,390.77","23,698.93","23,433.57","22,893.47","20,943.51","21,227.38"
54,9-Apr-20,"2,789.82","2,776.99","2,659.41","2,738.65","2,584.59","2,614.69",22.76,26.28,23.63,26.34,20.48,20.23,"1,752.80","1,680.50","1,683.70","1,707.10","1,596.60","1,643.40","23,719.37","23,690.66","22,653.86","23,537.44","21,917.16","22,208.42"
55,8-Apr-20,"2,749.98","2,685.00","2,663.68","2,578.28","2,626.65","2,558.98",25.09,24.3,26.08,26.09,20.09,20.93,"1,684.30","1,678.70","1,693.90","1,647.70","1,643.20","1,663.40","23,433.57","22,893.47","22,679.99","21,693.63","22,327.48","21,678.22"
56,7-Apr-20,"2,659.41","2,738.65","2,488.65","2,514.92","2,541.47","2,555.87",23.63,26.34,28.34,24.81,21.51,23.29,"1,683.70","1,707.10","1,645.70","1,635.30","1,654.10","1,653.40","22,653.86","23,537.44","21,052.53","21,285.93","21,636.78","21,898.47"
57,6-Apr-20,"2,663.68","2,578.28","2,526.90","2,458.54","2,630.07","2,501.29",26.08,26.09,25.32,21.22,22.6,24.25,"1,693.90","1,647.70","1,637.70","1,602.40","1,660.30","1,642.20","22,679.99","21,693.63","21,413.44","20,819.46","22,552.17","21,468.38"
58,3-Apr-20,"2,488.65","2,514.92","2,470.50","2,498.08","2,475.56","2,457.77",28.34,24.81,20.31,20.1,24.49,24.37,"1,645.70","1,635.30","1,591.40","1,589.40","1,634.30","1,665.50","21,052.53","21,285.93","20,943.51","21,227.38","21,200.55","21,050.34"
59,2-Apr-20,"2,526.90","2,458.54","2,584.59","2,614.69","2,447.33","2,344.44",25.32,21.22,20.48,20.23,24.01,23.87,"1,637.70","1,602.40","1,596.60","1,643.40","1,663.30","1,566.30","21,413.44","20,819.46","21,917.16","22,208.42","20,704.91","19,722.19"
60,1-Apr-20,"2,470.50","2,498.08","2,626.65","2,558.98","2,237.40","2,290.71",20.31,20.1,20.09,20.93,23.36,22.52,"1,591.40","1,589.40","1,643.20","1,663.40","1,572.70","1,508.40","20,943.51","21,227.38","22,327.48","21,678.22","18,591.93","19,028.36"
61,31-Mar-20,"2,584.59","2,614.69","2,541.47","2,555.87","2,304.92","2,431.94",20.48,20.23,21.51,23.29,22.43,24.73,"1,596.60","1,643.40","1,654.10","1,653.40","1,488.10","1,474.70","21,917.16","22,208.42","21,636.78","21,898.47","19,173.98","20,253.15"
